city name,postcode,latitude,longitude
ST BRIEUC,22000,48.514851378, -2.763309782
LANVALLAY,22100,48.451576812, -2.011490444
TADEN,22100,48.487864247, -2.054221532
BRUSVILY,22100,48.393989061, -2.117702839
BOBITAL,22100,48.414616381, -2.097435549
QUEVERT,22100,48.463001441, -2.085788252
LE HINGLE,22100,48.397989941, -2.082844139
LANVALLAY,22100,48.451576812, -2.011490444
ST HELEN,22100,48.466004612, -1.959266327
ST SAMSON SUR RANCE,22100,48.491427043, -2.01862491
TREVRON,22100,48.388856965, -2.068150871
QUEVERT,22100,48.463001441, -2.085788252
TRELIVAN,22100,48.430507521, -2.106615694
DINAN,22100,48.446122862, -2.051305632
LANVALLAY,22100,48.451576812, -2.011490444
ST SAMSON SUR RANCE,22100,48.491427043, -2.01862491
AUCALEUC,22100,48.451791839, -2.127617919
CALORGUEN,22100,48.405091903, -2.025984997
DINAN,22100,48.446122862, -2.051305632
ST CARNE,22100,48.419213025, -2.055108626
ROSTRENEN,22110,48.22135025, -3.311657917
PLOUNEVEZ QUINTIN,22110,48.28537131, -3.240792192
MELLIONNEC,22110,48.168474344, -3.290144822
PLOUGUERNEVEL,22110,48.234168387, -3.24730828
ROSTRENEN,22110,48.22135025, -3.311657917
KERGRIST MOELOU,22110,48.294604205, -3.325603286
TREMARGAT,22110,48.330117497, -3.26716046
GLOMEL,22110,48.205708613, -3.388055268
HILLION,22120,48.50299934, -2.646209136
HILLION,22120,48.50299934, -2.646209136
QUESSOY,22120,48.426865219, -2.656445334
YFFINIAC,22120,48.4679349, -2.681727195
POMMERET,22120,48.458489726, -2.622224727
QUESSOY,22120,48.426865219, -2.656445334
LANDEBIA,22130,48.515181456, -2.337313612
PLANCOET,22130,48.514601641, -2.21932543
CORSEUL,22130,48.483035588, -2.166319018
CREHEN,22130,48.53989692, -2.190296083
ST LORMEL,22130,48.551527395, -2.235622513
BOURSEUL,22130,48.467127385, -2.264932118
PLOREC SUR ARGUENON,22130,48.463606587, -2.301044567
LANGUENAN,22130,48.511472449, -2.133207954
PLEVEN,22130,48.491284536, -2.321190205
PLUDUNO,22130,48.523804319, -2.280574254
BEGARD,22140,48.634782583, -3.291535083
BEGARD,22140,48.634782583, -3.291535083
BEGARD,22140,48.634782583, -3.291535083
BERHET,22140,48.697506385, -3.30845977
CAVAN,22140,48.682154744, -3.352407327
KERMOROC H,22140,48.614871381, -3.20363397
LANDEBAERON,22140,48.637650067, -3.204871813
BRELIDY,22140,48.64928975, -3.227795453
PLUZUNET,22140,48.636741845, -3.37148292
TONQUEDEC,22140,48.6758572, -3.400382454
