zip,latitude,longitude,,,city
10501,41.2954,-73.76006,Amawalk,NY,Amawalk (NY)
10502,41.01126,-73.8409,Ardsley,NY,Ardsley (NY)
10503,41.02654,-73.8753,Ardsley On Hudson,NY,Ardsley On Hudson (NY)
10504,41.13065,-73.70629,Armonk,NY,Armonk (NY)
10505,41.34207,-73.74791,Baldwin Place,NY,Baldwin Place (NY)
10506,41.1889,-73.63411,Bedford,NY,Bedford (NY)
10507,41.22879,-73.6878,Bedford Hills,NY,Bedford Hills (NY)
10509,41.41205,-73.5937,Brewster,NY,Brewster (NY)
10510,41.14152,-73.83411,Briarcliff Manor,NY,Briarcliff Manor (NY)
10511,41.26302,-73.94391,Buchanan,NY,Buchanan (NY)
10512,41.4483,-73.71054,Carmel,NY,Carmel (NY)
10514,41.17331,-73.77071,Chappaqua,NY,Chappaqua (NY)
10516,41.45342,-73.90233,Cold Spring,NY,Cold Spring (NY)
10517,41.29837,-73.86013,Crompond,NY,Crompond (NY)
10518,41.26787,-73.60073,Cross River,NY,Cross River (NY)
10519,41.34701,-73.66196,Croton Falls,NY,Croton Falls (NY)
10520,41.22183,-73.87348,Croton On Hudson,NY,Croton On Hudson (NY)
10522,41.01221,-73.8646,Dobbs Ferry,NY,Dobbs Ferry (NY)
10523,41.06005,-73.81859,Elmsford,NY,Elmsford (NY)
10524,41.37076,-73.92201,Garrison,NY,Garrison (NY)
10526,41.29388,-73.66171,Goldens Bridge,NY,Goldens Bridge (NY)
10527,41.3195,-73.76502,Granite Springs,NY,Granite Springs (NY)
10528,40.97819,-73.72306,Harrison,NY,Harrison (NY)
10530,41.02304,-73.80764,Hartsdale,NY,Hartsdale (NY)
10532,41.09873,-73.80066,Hawthorne,NY,Hawthorne (NY)
10533,41.03826,-73.8556,Irvington,NY,Irvington (NY)
10535,41.33536,-73.79965,Jefferson Valley,NY,Jefferson Valley (NY)
10536,41.26971,-73.68943,Katonah,NY,Katonah (NY)
10537,41.33784,-73.88528,Lake Peekskill,NY,Lake Peekskill (NY)
10538,40.9376,-73.75707,Larchmont,NY,Larchmont (NY)
10540,41.32575,-73.72745,Lincolndale,NY,Lincolndale (NY)
10541,41.37855,-73.75122,Mahopac,NY,Mahopac (NY)
10542,41.37115,-73.76436,Mahopac Falls,NY,Mahopac Falls (NY)
10543,40.95274,-73.73645,Mamaroneck,NY,Mamaroneck (NY)
10545,41.17861,-73.83547,Maryknoll,NY,Maryknoll (NY)
10546,41.19472,-73.8002,Millwood,NY,Millwood (NY)
10547,41.31178,-73.84637,Mohegan Lake,NY,Mohegan Lake (NY)
10548,41.24599,-73.93643,Montrose,NY,Montrose (NY)
10549,41.19981,-73.72028,Mount Kisco,NY,Mount Kisco (NY)
10550,40.90627,-73.8351,Mount Vernon,NY,Mount Vernon (NY)
10552,40.92376,-73.82497,Mount Vernon,NY,Mount Vernon (NY)
10553,40.90858,-73.82161,Mount Vernon,NY,Mount Vernon (NY)
10560,41.33303,-73.60264,North Salem,NY,North Salem (NY)
10562,41.19295,-73.8305,Ossining,NY,Ossining (NY)
10566,41.28924,-73.91837,Peekskill,NY,Peekskill (NY)
10567,41.28922,-73.89633,Cortlandt Manor,NY,Cortlandt Manor (NY)
10570,41.12854,-73.78917,Pleasantville,NY,Pleasantville (NY)
10573,41.01676,-73.67735,Port Chester,NY,Port Chester (NY)
10576,41.21323,-73.57289,Pound Ridge,NY,Pound Ridge (NY)
10577,41.03755,-73.71349,Purchase,NY,Purchase (NY)
10578,41.31815,-73.6730,Purdys,NY,Purdys (NY)
10579,41.39651,-73.83384,Putnam Valley,NY,Putnam Valley (NY)
10580,40.97854,-73.69258,Rye,NY,Rye (NY)
10583,40.98916,-73.79443,Scarsdale,NY,Scarsdale (NY)
10588,41.33222,-73.82624,Shrub Oak,NY,Shrub Oak (NY)
10589,41.33178,-73.6933,Somers,NY,Somers (NY)
10590,41.25421,-73.53719,South Salem,NY,South Salem (NY)
10591,41.08436,-73.84653,Tarrytown,NY,Tarrytown (NY)
10594,41.11579,-73.7710,Thornwood,NY,Thornwood (NY)
10595,41.08626,-73.78097,Valhalla,NY,Valhalla (NY)
10596,41.25552,-73.95854,Verplanck,NY,Verplanck (NY)
10597,41.29423,-73.59703,Waccabuc,NY,Waccabuc (NY)
10598,41.28309,-73.79516,Yorktown Heights,NY,Yorktown Heights (NY)
10601,41.03288,-73.7648,White Plains,NY,White Plains (NY)
10603,41.05364,-73.78014,White Plains,NY,White Plains (NY)
10604,41.06013,-73.73955,West Harrison,NY,West Harrison (NY)
10605,41.0095,-73.74518,White Plains,NY,White Plains (NY)
10606,41.02065,-73.77588,White Plains,NY,White Plains (NY)
10607,41.03949,-73.81214,White Plains,NY,White Plains (NY)
